provider,model,seed,condition_type,strategy,random_RSI,final_RSI,delta_RSI,random_GBC,final_GBC,delta_GBC,random_CAI,final_CAI,delta_CAI,random_SII,final_SII,delta_SII,run_dir
deepseek,deepseek-v4-flash,0,halo,boss,0.42703895184527774,0.6519112316785645,0.22487227983328673,0.8507519184827128,0.6634494957504573,-0.1873024227322555,0.027777777777777776,0.06111111111111109,0.03333333333333331,0.021154925294066398,0.07627516787636653,0.055120242582300125,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed0_1778255532
deepseek,deepseek-v4-flash,0,halo,control,0.4447963606655566,0.4523848253713789,0.0075884647058223065,0.5301473590651375,0.40616204963059005,-0.1239853094345475,0.07499999999999998,0.019444444444444424,-0.05555555555555556,0.05335936864527372,0.05859728641591388,0.0052379177706401575,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed0_1778258790
deepseek,deepseek-v4-flash,0,neutral,boss,0.47538813423560844,0.5771104693720334,0.10172233513642492,0.5304283680510373,0.5967984274077974,0.0663700593567601,0.02500000000000006,0.11388888888888893,0.08888888888888886,0.025000000000000057,0.09233761188108147,0.06733761188108142,runs/deepseek/deepseek-v4-flash_neutral_boss_seed0_1778261584
deepseek,deepseek-v4-flash,0,neutral,control,0.410573845567407,0.43135521806375293,0.02078137249634593,0.6931532170628952,0.6476207839890409,-0.04553243307385435,0.03888888888888885,0.03611111111111113,-0.0027777777777777193,0.02859897261385274,0.033448873829978625,0.004849901216125885,runs/deepseek/deepseek-v4-flash_neutral_control_seed0_1778264087
deepseek,deepseek-v4-flash,1,halo,boss,0.4775659820636111,0.6360891933685695,0.1585232113049584,0.5540524307667939,0.7089819288243117,0.15492949805751777,0.06666666666666662,0.14166666666666672,0.0750000000000001,0.0496903994999953,0.10034662148993584,0.05065622198994054,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed1_1778275459
deepseek,deepseek-v4-flash,1,halo,control,0.46657441433931474,0.4589865091260441,-0.007587905213270629,0.5540524307667939,0.666235932183308,0.11218350141651412,0.06944444444444445,0.1083333333333333,0.03888888888888885,0.05099322152968285,0.07782736514512163,0.02683414361543878,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed1_1778277865
deepseek,deepseek-v4-flash,1,neutral,boss,0.4450464038701139,0.4961076948934619,0.051061291023348,0.4134494957504573,0.5893203355489114,0.17587083979845408,0.03333333333333331,0.06111111111111109,0.027777777777777776,0.023570226039551567,0.04321208107251122,0.019641855032959652,runs/deepseek/deepseek-v4-flash_neutral_boss_seed1_1778270621
deepseek,deepseek-v4-flash,1,neutral,control,0.5045507726492482,0.4416770259474204,-0.06287374670182777,0.6105562038882679,0.6476207839890409,0.03706458010077296,0.07222222222222216,0.10555555555555557,0.03333333333333341,0.051219691429404884,0.08258927081843616,0.031369579389031274,runs/deepseek/deepseek-v4-flash_neutral_control_seed1_1778273321
deepseek,deepseek-v4-flash,2,halo,boss,0.4868981871896272,0.6858183370895925,0.19892014989996532,0.43207490863491227,0.7756329971669715,0.34355808853205927,0.005555555555555536,0.18611111111111114,0.1805555555555556,0.01619708859679251,0.1433989944348923,0.1272019058380998,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed2_1778363991
deepseek,deepseek-v4-flash,2,halo,control,0.5148406894160684,0.4968764394287736,-0.017964249987294845,0.4983727024717536,0.7385684170661986,0.240195714594445,0.10555555555555557,0.016666666666666607,-0.08888888888888896,0.07827223779780762,0.0524110062892033,-0.025861231508604317,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed2_1778367041
deepseek,deepseek-v4-flash,2,neutral,boss,0.4859986050645319,0.6139418155586585,0.12794321049412655,0.6263849156496843,0.6263849156496843,0.0,0.05833333333333327,0.11666666666666664,0.05833333333333337,0.061174209848736755,0.08333333333333331,0.02215912348459656,runs/deepseek/deepseek-v4-flash_neutral_boss_seed2_1778314504
deepseek,deepseek-v4-flash,2,neutral,control,0.488866765901858,0.4797346929330124,-0.009132072968845606,0.43407357839593963,0.6263849156496843,0.19231133725374472,0.03611111111111113,0.008333333333333352,-0.027777777777777776,0.026205503144601693,0.0416666666666667,0.015461163522065006,runs/deepseek/deepseek-v4-flash_neutral_control_seed2_1778319881
deepseek,deepseek-v4-flash,3,halo,boss,0.3893373716806199,0.541487875334457,0.1521505036538371,0.6719173487235387,0.6476207839890409,-0.024296564734497816,0.05555555555555555,0.01111111111111117,-0.044444444444444384,0.074120355911813,0.03239417719358497,-0.04172617871822803,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed3_1778374797
deepseek,deepseek-v4-flash,3,halo,control,0.42548073286880034,0.46362572229350113,0.03814498942470079,0.6662359321833081,0.8878164985834858,0.22158056640017765,0.08055555555555552,0.07222222222222226,-0.008333333333333262,0.07270140182390221,0.05166965343816189,-0.021031748385740318,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed3_1778378062
deepseek,deepseek-v4-flash,3,neutral,boss,0.41793372021564473,0.6211088386423994,0.20317511842675468,0.4400722540316241,0.4846149259912832,0.04454267195965911,0.08888888888888886,0.14722222222222225,0.05833333333333339,0.07211530547637315,0.10426846877290813,0.032153163296534976,runs/deepseek/deepseek-v4-flash_neutral_boss_seed3_1778369609
deepseek,deepseek-v4-flash,3,neutral,control,0.4238612755246005,0.46135299787404344,0.037491722349442924,0.6159633604662078,0.580969715646381,-0.03499364481982681,0.0944444444444445,0.016666666666666705,-0.07777777777777779,0.07556372504853028,0.048591265790377466,-0.02697245925815281,runs/deepseek/deepseek-v4-flash_neutral_control_seed3_1778372259
